"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"lp__",144.298019356601,0.0987974833689638,2.55039759779819,138.428386135848,142.750420454562,144.647513032953,146.201676638138,148.194298940756,648,1.00739839899297,1,139.462413559274,144.647513032953,147.813028798176,0.204390759735588,0.130974789171077,0.0970180630149002,0.0647901579088739,0.052953565684561,0.0699377977217731,667,1123
"CL",10.0244222064144,0.00439939366889955,0.179408809169998,9.67645744360586,9.90764585958211,10.0202612385877,10.1444905286627,10.3708690758801,1647,1.00094286880101,1,9.73405854543901,10.0202612385877,10.3141024028104,0.0132262563846401,0.00479587248212088,0.00592151778366112,0.00643109610969272,0.0152259681243887,0.00312565140362543,1687,1252
"Q",15.2107266538709,0.0496150765651587,1.53096468533127,12.4138052835992,14.0809127933919,15.1303319528907,16.2695476657055,18.2139943369889,934,1.00064533861831,1,12.8227259027255,15.1303319528907,17.7661035812347,0.134360362215287,0.0481866425339783,0.0570592954878375,0.0679225594973492,0.171527922781261,0.0350939095841272,959,1190
"V1",35.9832454486948,0.142977887919078,4.22895655161233,26.9991515929201,33.1795002893847,36.109481241914,38.8247005764822,43.6541165130934,864,1.00251090775059,1,28.5854075992312,36.109481241914,42.5108460535061,0.333457716301773,0.183623647954779,0.15563433962792,0.156469922493407,0.403624668673512,0.101134359637225,892,1002
"V2",106.890909568941,0.18112368959909,7.27936718610867,93.9107134390717,102.037671012942,106.523686181962,111.462486607643,121.790011108611,1577,1.00219294231753,1,95.5882571900245,106.523686181962,119.299802975414,0.317541780764913,0.208614882424548,0.22062531451914,0.290637840617165,0.608223154432487,0.129829228062449,1681,1580
"ka",2.12299046258485,0.0111495471872925,0.327330621223505,1.49319826213577,1.90254908075474,2.11638625188719,2.33940981730697,2.7896655499605,848,1.00206027341075,1,1.58754973246245,2.11638625188719,2.66334176844799,0.0189849088988402,0.0113502825334578,0.0129030685547318,0.0113696475682554,0.0365606955849831,0.00794800767506805,867,987
"sigma",0.111767152721406,0.000261742926681492,0.0115950276330314,0.0915798632187052,0.10363810730963,0.110788811843565,0.118626727639217,0.138211945128137,1955,1.00201646577254,1,0.0942631194939456,0.110788811843565,0.13312735321455,0.000512631413747459,0.000324218189709562,0.000391949868841265,0.000417184754318928,0.00132838722985627,0.000187917147747423,2033,1175
"alpha",0.00227309921551593,2.12145045557069e-05,0.000614524573429613,0.00117284939378354,0.00185095377844901,0.00223624123005274,0.00265676470655423,0.00351210041477182,823,1.00212833719032,1,0.00132632908031307,0.00223624123005274,0.00331617450764851,3.88049074424228e-05,2.02833712145987e-05,2.18863995959588e-05,2.968677033078e-05,6.97483282195491e-05,1.55215016479569e-05,853,968
"mtt",127.204254236957,0.18671116267757,5.82024385345994,115.209399813141,123.488830347218,127.333723488667,130.848702381451,139.099991934199,952,1.00415389505187,1,117.593523323926,127.333723488667,136.596785795808,0.570532949723386,0.295187010908094,0.205128445325492,0.246681348821923,0.257292880532191,0.132064377365575,986,934
"circ0",4.78722679098491,0.00432263334116503,0.152817469959906,4.503506162479,4.68445180239169,4.7808194870836,4.88382159227394,5.10969059346918,1236,1.002019012492,1,4.54369396923803,4.7808194870836,5.05734152609101,0.00936238027579117,0.00459526847800884,0.00472242942344225,0.00473971443602217,0.0137140443221724,0.00305989286271229,1255,1230
"gamma",0.187589459876375,0.00066824485015427,0.0203606646160923,0.149388984253823,0.174107474242591,0.18618527164384,0.200822203515438,0.228495175546488,916,1.00495234285013,1,0.155507708895201,0.18618527164384,0.222243806340329,0.0017380951646729,0.000919352773682935,0.000739794164742527,0.000981478821717313,0.00175045176916576,0.000472668999550589,916,1258
"sigmaNeut",0.0834483228361359,0.000347897791600063,0.0133699903356566,0.0622229836405446,0.0742002549894413,0.0820804138354041,0.090763030906644,0.114785900998248,1425,1.0028810254024,1,0.0648128159741118,0.0820804138354041,0.10757131029556,0.000477876983546476,0.000304611341847574,0.000328413057919232,0.000506014383488518,0.00172689836554438,0.000258708172495646,1615,1071
